id,date,store_nbr,family,sales,onpromotion
12,2013-01-01,1,GROCERY I,0.0,0
1794,2013-01-02,1,GROCERY I,2652.0,0
3576,2013-01-03,1,GROCERY I,2121.0,0
5358,2013-01-04,1,GROCERY I,2056.0,0
7140,2013-01-05,1,GROCERY I,2216.0,0
8922,2013-01-06,1,GROCERY I,723.0,0
10704,2013-01-07,1,GROCERY I,2262.0,0
12486,2013-01-08,1,GROCERY I,1782.0,0
14268,2013-01-09,1,GROCERY I,2429.0,0
16050,2013-01-10,1,GROCERY I,1544.0,0
17832,2013-01-11,1,GROCERY I,1750.0,0
19614,2013-01-12,1,GROCERY I,1796.0,0
21396,2013-01-13,1,GROCERY I,961.0,0
23178,2013-01-14,1,GROCERY I,1902.0,0
24960,2013-01-15,1,GROCERY I,1671.0,0
26742,2013-01-16,1,GROCERY I,2387.0,0
28524,2013-01-17,1,GROCERY I,1648.0,0
30306,2013-01-18,1,GROCERY I,1804.0,0
32088,2013-01-19,1,GROCERY I,1956.0,0
33870,2013-01-20,1,GROCERY I,895.0,0
35652,2013-01-21,1,GROCERY I,1679.0,0
37434,2013-01-22,1,GROCERY I,1809.0,0
39216,2013-01-23,1,GROCERY I,2271.0,0
40998,2013-01-24,1,GROCERY I,1868.0,0
42780,2013-01-25,1,GROCERY I,1706.0,0
44562,2013-01-26,1,GROCERY I,1775.0,0
46344,2013-01-27,1,GROCERY I,811.0,0
48126,2013-01-28,1,GROCERY I,1695.0,0
49908,2013-01-29,1,GROCERY I,1575.0,0
51690,2013-01-30,1,GROCERY I,2157.0,0
53472,2013-01-31,1,GROCERY I,1496.0,0
55254,2013-02-01,1,GROCERY I,1808.0,0
57036,2013-02-02,1,GROCERY I,2092.0,0
58818,2013-02-03,1,GROCERY I,810.0,0
60600,2013-02-04,1,GROCERY I,2221.0,0
62382,2013-02-05,1,GROCERY I,1868.0,0
64164,2013-02-06,1,GROCERY I,2056.0,0
65946,2013-02-07,1,GROCERY I,1474.0,0
67728,2013-02-08,1,GROCERY I,1767.0,0
69510,2013-02-09,1,GROCERY I,1552.0,0
71292,2013-02-10,1,GROCERY I,385.0,0
73074,2013-02-11,1,GROCERY I,458.0,0
74856,2013-02-12,1,GROCERY I,628.0,0
76638,2013-02-13,1,GROCERY I,2422.0,0
78420,2013-02-14,1,GROCERY I,1743.0,0
80202,2013-02-15,1,GROCERY I,1713.0,0
81984,2013-02-16,1,GROCERY I,2046.0,0
83766,2013-02-17,1,GROCERY I,630.0,0
85548,2013-02-18,1,GROCERY I,1799.0,0
87330,2013-02-19,1,GROCERY I,1923.0,0
89112,2013-02-20,1,GROCERY I,2246.0,0
90894,2013-02-21,1,GROCERY I,2023.0,0
92676,2013-02-22,1,GROCERY I,1741.0,0
94458,2013-02-23,1,GROCERY I,1851.0,0
96240,2013-02-24,1,GROCERY I,782.0,0
98022,2013-02-25,1,GROCERY I,1897.0,0
99804,2013-02-26,1,GROCERY I,1671.0,0
101586,2013-02-27,1,GROCERY I,2174.0,0
103368,2013-02-28,1,GROCERY I,1667.0,0
105150,2013-03-01,1,GROCERY I,1930.0,0
106932,2013-03-02,1,GROCERY I,1980.0,0
108714,2013-03-03,1,GROCERY I,914.0,0
110496,2013-03-04,1,GROCERY I,2299.0,0
112278,2013-03-05,1,GROCERY I,1746.0,0
114060,2013-03-06,1,GROCERY I,2475.0,0
115842,2013-03-07,1,GROCERY I,1720.0,0
117624,2013-03-08,1,GROCERY I,1893.0,0
119406,2013-03-09,1,GROCERY I,1972.0,0
121188,2013-03-10,1,GROCERY I,854.0,0
122970,2013-03-11,1,GROCERY I,1809.0,0
124752,2013-03-12,1,GROCERY I,1808.0,0
126534,2013-03-13,1,GROCERY I,2010.0,0
128316,2013-03-14,1,GROCERY I,1685.0,0
